episode 1, score -440.73, avg score -440.73, eps 0.993
episode 2, score -114.29, avg score -277.51, eps 0.986
episode 3, score -148.36, avg score -234.46, eps 0.979
episode 4, score -92.52, avg score -198.98, eps 0.972
episode 5, score -100.85, avg score -179.35, eps 0.965
episode 6, score -204.39, avg score -183.52, eps 0.959
episode 7, score -108.75, avg score -172.84, eps 0.952
episode 8, score -148.85, avg score -169.84, eps 0.945
episode 9, score -239.39, avg score -177.57, eps 0.939
episode 10, score -109.20, avg score -170.73, eps 0.932
episode 11, score -184.77, avg score -172.01, eps 0.926
episode 12, score -336.63, avg score -185.73, eps 0.919
episode 13, score -255.18, avg score -191.07, eps 0.913
episode 14, score -115.63, avg score -185.68, eps 0.906
episode 15, score -84.87, avg score -178.96, eps 0.900
episode 16, score -138.58, avg score -176.44, eps 0.894
episode 17, score -53.97, avg score -169.23, eps 0.887
episode 18, score -98.48, avg score -165.30, eps 0.881
episode 19, score -201.00, avg score -167.18, eps 0.875
episode 20, score -65.69, avg score -162.11, eps 0.869
episode 21, score -243.93, avg score -166.00, eps 0.863
episode 22, score -45.78, avg score -160.54, eps 0.857
episode 23, score -54.53, avg score -155.93, eps 0.851
episode 24, score -48.25, avg score -151.44, eps 0.845
episode 25, score -56.21, avg score -147.63, eps 0.839
episode 26, score -67.73, avg score -144.56, eps 0.833
episode 27, score -284.30, avg score -149.74, eps 0.827
episode 28, score -72.85, avg score -146.99, eps 0.821
episode 29, score -80.03, avg score -144.68, eps 0.816
episode 30, score -477.08, avg score -155.76, eps 0.810
episode 31, score -231.47, avg score -158.20, eps 0.804
episode 32, score -84.00, avg score -155.88, eps 0.799
episode 33, score -336.28, avg score -161.35, eps 0.793
episode 34, score -387.81, avg score -168.01, eps 0.788
episode 35, score -71.33, avg score -165.25, eps 0.782
episode 36, score -72.53, avg score -162.67, eps 0.777
episode 37, score -110.77, avg score -161.27, eps 0.771
episode 38, score -122.43, avg score -160.25, eps 0.766
episode 39, score -159.10, avg score -160.22, eps 0.760
episode 40, score -202.84, avg score -161.29, eps 0.755
episode 41, score -163.21, avg score -161.33, eps 0.750
episode 42, score -121.36, avg score -160.38, eps 0.745
episode 43, score -106.41, avg score -159.13, eps 0.739
episode 44, score -212.80, avg score -160.35, eps 0.734
episode 45, score -78.51, avg score -158.53, eps 0.729
episode 46, score -24.18, avg score -155.61, eps 0.724
episode 47, score -160.48, avg score -155.71, eps 0.719
episode 48, score -124.33, avg score -155.06, eps 0.714
episode 49, score -120.77, avg score -154.36, eps 0.709
episode 50, score -161.64, avg score -154.50, eps 0.704
episode 51, score -122.99, avg score -153.88, eps 0.699
episode 52, score -80.84, avg score -152.48, eps 0.694
episode 53, score -80.32, avg score -151.12, eps 0.689
episode 54, score -110.99, avg score -150.37, eps 0.684
episode 55, score -153.46, avg score -150.43, eps 0.680
episode 56, score -220.24, avg score -151.68, eps 0.675
episode 57, score -160.36, avg score -151.83, eps 0.670
episode 58, score -76.33, avg score -150.53, eps 0.665
episode 59, score -9.31, avg score -148.13, eps 0.661
episode 60, score -66.31, avg score -146.77, eps 0.656
episode 61, score -13.54, avg score -144.59, eps 0.651
episode 62, score -105.61, avg score -143.96, eps 0.647
episode 63, score -128.12, avg score -143.71, eps 0.642
episode 64, score -127.87, avg score -143.46, eps 0.638
episode 65, score -92.55, avg score -142.68, eps 0.633
episode 66, score -200.34, avg score -143.55, eps 0.629
episode 67, score -116.03, avg score -143.14, eps 0.625
episode 68, score -86.82, avg score -142.31, eps 0.620
episode 69, score -69.80, avg score -141.26, eps 0.616
episode 70, score -126.48, avg score -141.05, eps 0.612
episode 71, score -199.55, avg score -141.87, eps 0.607
episode 72, score -182.96, avg score -142.44, eps 0.603
episode 73, score -404.86, avg score -146.04, eps 0.599
episode 74, score -111.40, avg score -145.57, eps 0.595
episode 75, score -67.77, avg score -144.53, eps 0.590
episode 76, score -40.88, avg score -143.17, eps 0.586
episode 77, score -47.08, avg score -141.92, eps 0.582
episode 78, score 22.44, avg score -139.81, eps 0.578
episode 79, score -31.95, avg score -138.45, eps 0.574
episode 80, score -78.48, avg score -137.70, eps 0.570
episode 81, score -67.70, avg score -136.83, eps 0.566
episode 82, score -20.74, avg score -135.42, eps 0.562
episode 83, score -59.37, avg score -134.50, eps 0.558
episode 84, score -126.48, avg score -134.41, eps 0.554
episode 85, score -76.97, avg score -133.73, eps 0.550
episode 86, score -231.93, avg score -134.87, eps 0.547
episode 87, score -27.96, avg score -133.64, eps 0.543
episode 88, score -123.17, avg score -133.53, eps 0.539
episode 89, score -76.73, avg score -132.89, eps 0.535
episode 90, score -92.18, avg score -132.43, eps 0.531
episode 91, score -134.56, avg score -132.46, eps 0.528
episode 92, score -85.73, avg score -131.95, eps 0.524
episode 93, score -55.11, avg score -131.12, eps 0.520
episode 94, score 5.25, avg score -129.67, eps 0.517
episode 95, score -21.41, avg score -128.53, eps 0.513
episode 96, score -51.78, avg score -127.73, eps 0.509
episode 97, score -45.09, avg score -126.88, eps 0.506
episode 98, score -90.47, avg score -126.51, eps 0.502
episode 99, score -85.92, avg score -126.10, eps 0.499
episode 100, score -224.46, avg score -127.08, eps 0.495
episode 101, score -65.51, avg score -123.33, eps 0.492
episode 102, score 53.08, avg score -121.66, eps 0.488
episode 103, score -173.11, avg score -121.91, eps 0.485
episode 104, score 29.20, avg score -120.69, eps 0.482
episode 105, score 9.31, avg score -119.59, eps 0.478
episode 106, score -13.91, avg score -117.68, eps 0.475
episode 107, score -56.29, avg score -117.16, eps 0.472
episode 108, score 22.38, avg score -115.45, eps 0.468
episode 109, score -74.26, avg score -113.79, eps 0.465
episode 110, score -74.27, avg score -113.44, eps 0.462
episode 111, score -68.73, avg score -112.28, eps 0.459
episode 112, score -86.23, avg score -109.78, eps 0.455
episode 113, score -11.52, avg score -107.34, eps 0.452
episode 114, score -75.00, avg score -106.94, eps 0.449
episode 115, score -19.56, avg score -106.28, eps 0.446
episode 116, score 31.55, avg score -104.58, eps 0.443
episode 117, score -193.51, avg score -105.98, eps 0.440
episode 118, score -79.93, avg score -105.79, eps 0.437
episode 119, score -104.12, avg score -104.82, eps 0.433
episode 120, score -170.13, avg score -105.87, eps 0.430
episode 121, score -38.33, avg score -103.81, eps 0.427
episode 122, score -33.86, avg score -103.69, eps 0.424
episode 123, score 34.36, avg score -102.80, eps 0.421
episode 124, score -273.14, avg score -105.05, eps 0.419
episode 125, score -143.44, avg score -105.93, eps 0.416
episode 126, score -231.53, avg score -107.56, eps 0.413
episode 127, score -103.12, avg score -105.75, eps 0.410
episode 128, score -71.09, avg score -105.73, eps 0.407
episode 129, score 6.05, avg score -104.87, eps 0.404
episode 130, score -16.99, avg score -100.27, eps 0.401
episode 131, score 41.92, avg score -97.54, eps 0.398
episode 132, score -60.63, avg score -97.30, eps 0.396
episode 133, score -7.44, avg score -94.02, eps 0.393
episode 134, score 24.51, avg score -89.89, eps 0.390
episode 135, score -12.02, avg score -89.30, eps 0.387
episode 136, score 24.71, avg score -88.33, eps 0.385
episode 137, score -259.26, avg score -89.81, eps 0.382
episode 138, score -28.06, avg score -88.87, eps 0.379
episode 139, score -221.36, avg score -89.49, eps 0.377
episode 140, score 84.84, avg score -86.61, eps 0.374
episode 141, score -79.62, avg score -85.78, eps 0.371
episode 142, score -19.46, avg score -84.76, eps 0.369
episode 143, score 27.69, avg score -83.42, eps 0.366
episode 144, score -67.41, avg score -81.96, eps 0.364
episode 145, score -55.91, avg score -81.74, eps 0.361
episode 146, score -508.65, avg score -86.58, eps 0.359
episode 147, score -4.19, avg score -85.02, eps 0.356
episode 148, score -58.06, avg score -84.36, eps 0.354

episode 149, score 57.40, avg score -82.58, eps 0.351
episode 150, score -197.17, avg score -82.93, eps 0.349
episode 151, score -28.07, avg score -81.98, eps 0.346
episode 152, score -43.20, avg score -81.61, eps 0.344
episode 153, score 15.74, avg score -80.64, eps 0.341
episode 154, score 35.59, avg score -79.18, eps 0.339
episode 155, score -43.91, avg score -78.08, eps 0.337
episode 156, score -114.35, avg score -77.02, eps 0.334
episode 157, score -75.24, avg score -76.17, eps 0.332
episode 158, score 2.62, avg score -75.38, eps 0.330
episode 159, score -76.11, avg score -76.05, eps 0.327
episode 160, score -118.20, avg score -76.57, eps 0.325
episode 161, score -12.72, avg score -76.56, eps 0.323
episode 162, score -12.42, avg score -75.63, eps 0.320
episode 163, score -43.70, avg score -74.79, eps 0.318
episode 164, score 5.14, avg score -73.46, eps 0.316
episode 165, score -92.60, avg score -73.46, eps 0.314
episode 166, score -308.30, avg score -74.54, eps 0.312
episode 167, score -379.84, avg score -77.17, eps 0.309
episode 168, score -181.51, avg score -78.12, eps 0.307
episode 169, score -135.72, avg score -78.78, eps 0.305
episode 170, score -57.87, avg score -78.09, eps 0.303
episode 171, score -73.25, avg score -76.83, eps 0.301
episode 172, score -48.03, avg score -75.48, eps 0.299
episode 173, score -36.79, avg score -71.80, eps 0.297
episode 174, score -46.70, avg score -71.15, eps 0.295
episode 175, score -5.75, avg score -70.53, eps 0.292
episode 176, score -61.39, avg score -70.74, eps 0.290
episode 177, score -31.52, avg score -70.58, eps 0.288
episode 178, score -36.19, avg score -71.17, eps 0.286
episode 179, score 62.03, avg score -70.23, eps 0.284
episode 180, score -175.94, avg score -71.20, eps 0.282
episode 181, score 16.20, avg score -70.37, eps 0.280
episode 182, score 1.43, avg score -70.14, eps 0.278
episode 183, score -15.14, avg score -69.70, eps 0.277
episode 184, score 26.66, avg score -68.17, eps 0.275
episode 185, score -99.26, avg score -68.39, eps 0.273
episode 186, score 46.57, avg score -65.61, eps 0.271
episode 187, score -24.53, avg score -65.57, eps 0.269
episode 188, score 22.15, avg score -64.12, eps 0.267
episode 189, score 7.96, avg score -63.27, eps 0.265
episode 190, score 3.74, avg score -62.31, eps 0.263
episode 191, score -13.67, avg score -61.11, eps 0.261
episode 192, score 69.94, avg score -59.55, eps 0.260
episode 193, score -376.63, avg score -62.76, eps 0.258
episode 194, score -250.75, avg score -65.32, eps 0.256
episode 195, score 47.17, avg score -64.64, eps 0.254
episode 196, score 38.37, avg score -63.74, eps 0.252
episode 197, score 44.40, avg score -62.84, eps 0.251
episode 198, score -78.02, avg score -62.72, eps 0.249
episode 199, score -60.08, avg score -62.46, eps 0.247
episode 200, score 35.44, avg score -59.86, eps 0.245
episode 201, score -43.45, avg score -59.64, eps 0.244
episode 202, score 149.70, avg score -58.67, eps 0.242
episode 203, score -93.81, avg score -57.88, eps 0.240
episode 204, score -44.48, avg score -58.62, eps 0.239
episode 205, score 44.14, avg score -58.27, eps 0.237
episode 206, score 139.52, avg score -56.73, eps 0.235
episode 207, score -96.41, avg score -57.14, eps 0.234
episode 208, score -192.12, avg score -59.28, eps 0.232
episode 209, score 65.64, avg score -57.88, eps 0.230
episode 210, score -155.67, avg score -58.70, eps 0.229
episode 211, score -14.70, avg score -58.16, eps 0.227
episode 212, score 30.10, avg score -56.99, eps 0.226
episode 213, score -25.76, avg score -57.13, eps 0.224
episode 214, score 72.33, avg score -55.66, eps 0.222
episode 215, score 16.48, avg score -55.30, eps 0.221
episode 216, score 78.53, avg score -54.83, eps 0.219
episode 217, score 138.50, avg score -51.51, eps 0.218
episode 218, score -40.37, avg score -51.12, eps 0.216
episode 219, score -2.78, avg score -50.10, eps 0.215
episode 220, score 49.25, avg score -47.91, eps 0.213
episode 221, score 106.16, avg score -46.46, eps 0.212
episode 222, score 79.06, avg score -45.33, eps 0.210
episode 223, score 24.86, avg score -45.43, eps 0.209
episode 224, score 169.84, avg score -41.00, eps 0.207
episode 225, score 137.78, avg score -38.19, eps 0.206
episode 226, score -32.20, avg score -36.19, eps 0.204
episode 227, score 197.97, avg score -33.18, eps 0.203
episode 228, score 74.20, avg score -31.73, eps 0.202
episode 229, score 111.98, avg score -30.67, eps 0.200
episode 230, score -8.11, avg score -30.58, eps 0.199
episode 231, score 219.79, avg score -28.80, eps 0.197
episode 232, score 100.52, avg score -27.19, eps 0.196
episode 233, score 268.88, avg score -24.43, eps 0.195
episode 234, score -69.48, avg score -25.37, eps 0.193
episode 235, score 123.36, avg score -24.01, eps 0.192
episode 236, score 203.73, avg score -22.22, eps 0.191
episode 237, score 210.05, avg score -17.53, eps 0.189
episode 238, score -104.26, avg score -18.29, eps 0.188
episode 239, score 21.11, avg score -15.87, eps 0.187
episode 240, score 83.89, avg score -15.88, eps 0.185
episode 241, score 111.60, avg score -13.97, eps 0.184
episode 242, score 145.31, avg score -12.32, eps 0.183
episode 243, score 197.00, avg score -10.63, eps 0.181
episode 244, score -110.48, avg score -11.06, eps 0.180
episode 245, score -35.17, avg score -10.85, eps 0.179
episode 246, score 208.81, avg score -3.67, eps 0.178
episode 247, score 124.20, avg score -2.39, eps 0.176
episode 248, score -89.92, avg score -2.71, eps 0.175
episode 249, score 85.09, avg score -2.43, eps 0.174
episode 250, score 100.61, avg score 0.55, eps 0.173
episode 251, score 132.72, avg score 2.15, eps 0.171
episode 252, score -15.02, avg score 2.44, eps 0.170
episode 253, score 272.56, avg score 5.00, eps 0.169
episode 254, score 7.85, avg score 4.73, eps 0.168
episode 255, score -211.68, avg score 3.05, eps 0.167
episode 256, score 153.56, avg score 5.73, eps 0.166
episode 257, score -5.51, avg score 6.42, eps 0.164
episode 258, score 71.02, avg score 7.11, eps 0.163
episode 259, score 230.80, avg score 10.18, eps 0.162
episode 260, score 85.75, avg score 12.22, eps 0.161
